AIS	
AERONAUTICAL INFORMATION SERVICES
Aerodrome / Heliport in Europe/Greenland
Master gUID	Identifier of Aerodrome	Responsible State	Name of Aerodrome	ICAO Code	IATA Code	Type	(d)Operation code	ARP latitude	ARP Longitude	Datum	Served city	Working hours	Effective date	Originator	System Remark
400002193417607	ED2211	DFS DEUTSCHE FLUGSICHERUNG GMBH	WEISSENHORN STIFTUNGSKLINIK	 	 	HP	 	48.31212167N	010.15676444E	WGE	WEISSENHORN	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417609	ED2212	DFS DEUTSCHE FLUGSICHERUNG GMBH	TRIER KRANKENANSTALT MUTTERHAUS DER BORROMAEERINNEN	 	 	HP	 	49.75436111N	006.63088889E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417611	ED2213	DFS DEUTSCHE FLUGSICHERUNG GMBH	BREDSTEDT	 	 	LS	 	54.6325N	008.98555556E	WGE	BREDSTEDT	 	23/01/2025	DFS DEUTSCHE FLUGSICHERUNG GMBH	please obtain current usage data from dedicated report
400002193417613	ED2215	DFS DEUTSCHE FLUGSICHERUNG GMBH	HUBERTUSHOEHE	 	 	LS	 	52.23972222N	013.97194444E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417615	ED2216	DFS DEUTSCHE FLUGSICHERUNG GMBH	KASSEL ROTES-KREUZ-KRHS.	 	 	HP	 	51.31166667N	009.45347222E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417617	ED2217	DFS DEUTSCHE FLUGSICHERUNG GMBH	HEIDELBERG UNI-KLINIKUM	 	 	HP	 	49.4215N	008.66983333E	WGE	HEIDELBERG	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417619	ED2218	DFS DEUTSCHE FLUGSICHERUNG GMBH	BERNBURG KLINIKUM	 	 	HP	 	51.78166667N	011.735E	WGE	BERNBURG	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417621	ED2219	DFS DEUTSCHE FLUGSICHERUNG GMBH	BAD ROTHENFELDE SCHUECHTERMANN-KLINIK	 	 	HP	 	52.11333333N	008.16583333E	WGE	BAD ROTHENFELDE	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417623	ED2220	DFS DEUTSCHE FLUGSICHERUNG GMBH	MEPPEN LUDMILLENSTIFT	 	 	HP	 	52.68861111N	007.29333333E	WGE	MEPPEN	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417625	ED2221	DFS DEUTSCHE FLUGSICHERUNG GMBH	OFFENBACH KLINIKUM	 	 	HP	 	50.09450622N	008.75701563E	WGE	OFFENBACH AM MAIN	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417627	ED2222	DFS DEUTSCHE FLUGSICHERUNG GMBH	PILSACH-AUF DER HEID	 	 	LS	 	49.35196111N	011.48850833E	WGE	 	 	23/01/2025	DFS DEUTSCHE FLUGSICHERUNG GMBH	please obtain current usage data from dedicated report
400002193417629	ED2223	DFS DEUTSCHE FLUGSICHERUNG GMBH	BREMEN-NORD KLINIKUM	 	 	HP	 	53.18277778N	008.59388889E	WGE	BREMEN	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417631	ED2224	DFS DEUTSCHE FLUGSICHERUNG GMBH	WINNENDEN KLINIK	 	 	HP	 	48.87019444N	009.39321111E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417633	ED2225	DFS DEUTSCHE FLUGSICHERUNG GMBH	EHINGEN GESUNDHEITSZENTRUM	 	 	HP	 	48.27917N	009.71917E	WGE	EHINGEN	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417635	ED2226	DFS DEUTSCHE FLUGSICHERUNG GMBH	TRIER KRHS. DER BARMHERZIGEN BRUEDER	 	 	HP	 	49.76283333N	006.64083333E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417637	ED2227	DFS DEUTSCHE FLUGSICHERUNG GMBH	DORSTADT	 	 	LS	 	52.1N	010.55138889E	WGE	 	 	23/01/2025	DFS DEUTSCHE FLUGSICHERUNG GMBH	please obtain current usage data from dedicated report
400002193417639	ED2228	DFS DEUTSCHE FLUGSICHERUNG GMBH	EIMBECKHAUSEN	 	 	LS	 	52.22583333N	009.42555556E	WGE	 	 	23/01/2025	DFS DEUTSCHE FLUGSICHERUNG GMBH	please obtain current usage data from dedicated report
400002193417641	ED2229	DFS DEUTSCHE FLUGSICHERUNG GMBH	KARLSRUHE-RUEPPURR DIAKONISSENKRHS.	 	 	HP	 	48.97083333N	008.40916667E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417643	ED2230	DFS DEUTSCHE FLUGSICHERUNG GMBH	REINHEIM	 	 	LS	 	49.8395N	008.85083333E	WGE	 	 	23/01/2025	DFS DEUTSCHE FLUGSICHERUNG GMBH	 
400002193417645	ED2231	DFS DEUTSCHE FLUGSICHERUNG GMBH	BONN VENUSBERG UNIVERSITAETSKLINIKUM	 	 	HP	 	50.701775N	007.10240556E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417647	ED2232	DFS DEUTSCHE FLUGSICHERUNG GMBH	ROTENBURG/WUEMME DIAKONIEKRHS.	 	 	HP	 	53.10527778N	009.41166667E	WGE	ROTENBURG/WUEMME	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417649	ED2233	DFS DEUTSCHE FLUGSICHERUNG GMBH	NUERBURGRING/EIFEL LINDNER HOTEL	 	 	HP	 	50.33111111N	006.94305556E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417651	ED2234	DFS DEUTSCHE FLUGSICHERUNG GMBH	KARLSBAD-LANGENSTEINBACH SRH KLINIKUM	 	 	HP	 	48.9045N	008.503E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417653	ED2235	DFS DEUTSCHE FLUGSICHERUNG GMBH	FRANKFURT-MAIN UNIVERSITAETSKLINIK	 	 	HP	 	50.0955N	008.6625E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417655	ED2236	DFS DEUTSCHE FLUGSICHERUNG GMBH	GIESSEN UNIVERSITAETSKLINIKUM	 	 	HP	 	50.57580556N	008.66705556E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417657	ED2237	DFS DEUTSCHE FLUGSICHERUNG GMBH	GROSSSTEINBERG FIRMA ULRICH ALTNER	 	 	HP	 	51.24601389N	012.64906667E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417659	ED2238	DFS DEUTSCHE FLUGSICHERUNG GMBH	MARBURG	 	 	HP	 	50.81475833N	008.80767778E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417661	ED2240	DFS DEUTSCHE FLUGSICHERUNG GMBH	MUENCHEN-BOGENHAUSEN KLINIKUM	 	 	HP	 	48.15430694N	011.62617194E	WGE	MUENCHEN	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417663	ED2241	DFS DEUTSCHE FLUGSICHERUNG GMBH	MARKGROENINGEN KLINIK	 	 	HP	 	48.90888889N	009.10888889E	WGE	MARKGROENINGEN	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417665	ED2242	DFS DEUTSCHE FLUGSICHERUNG GMBH	DACHAU KLINIKUM	 	 	HP	 	48.26566667N	011.42933333E	WGE	DACHAU	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417667	ED2243	DFS DEUTSCHE FLUGSICHERUNG GMBH	ST. WENDEL GOLFHOTEL	 	 	HP	 	49.47489444N	007.13871111E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417669	ED2246	DFS DEUTSCHE FLUGSICHERUNG GMBH	FREIBURG UNIKLINIKUM FR 1	 	 	HP	 	48.00746944N	007.83924722E	WGE	FREIBURG	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417671	ED2247	DFS DEUTSCHE FLUGSICHERUNG GMBH	VOGTAREUTH SCHOEN KLINIK	 	 	HP	 	47.94676083N	012.18898528E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417673	ED2248	DFS DEUTSCHE FLUGSICHERUNG GMBH	HIDDENSEE	 	 	HP	 	54.57099722N	013.10670278E	WGE	 	 	07/08/2025	DFS DEUTSCHE FLUGSICHERUNG GMBH	please obtain current usage data from dedicated report
400002193417675	ED2249	DFS DEUTSCHE FLUGSICHERUNG GMBH	HEIDENHEIM KLINIKUM	 	 	HP	 	48.67273056N	010.13886389E	WGE	HEIDENHEIM	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417677	ED2250	DFS DEUTSCHE FLUGSICHERUNG GMBH	PFORZHEIM KLINIKUM	 	 	HP	 	48.88868306N	008.71204306E	WGE	PFORZHEIM	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417683	ED2253	DFS DEUTSCHE FLUGSICHERUNG GMBH	BAD SODEN	 	 	HP	 	50.15N	008.51444444E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417685	ED2254	DFS DEUTSCHE FLUGSICHERUNG GMBH	BRAUNSCHWEIG KLINIKUM SALZDAHLUMER STRASSE	 	 	HP	 	52.23805556N	010.54638889E	WGE	BRAUNSCHWEIG	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002592277718	ED2255	DFS DEUTSCHE FLUGSICHERUNG GMBH	HAMBURG-BOBERG	 	 	HP	 	53.50805556N	010.17333333E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400002592277720	ED2256	DFS DEUTSCHE FLUGSICHERUNG GMBH	HAMBURG ASKLEPIOS KLINIK	 	 	HP	 	53.56083333N	010.01694444E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400002592277722	ED2257	DFS DEUTSCHE FLUGSICHERUNG GMBH	HAMBURG-EPPENDORF	 	 	HP	 	53.59138889N	009.97388889E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400002193417687	ED2258	DFS DEUTSCHE FLUGSICHERUNG GMBH	NEUWIED MARIENHAUS KLINIKUM ST. ELISABETH	 	 	HP	 	50.428N	007.4715E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417689	ED2259	DFS DEUTSCHE FLUGSICHERUNG GMBH	HANNOVER-NORDSTADT KLINIKUM	 	 	HP	 	52.39222222N	009.71555556E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417691	ED2260	DFS DEUTSCHE FLUGSICHERUNG GMBH	VILLINGEN-SCHWENNINGEN ZENTRALKLINIKUM	 	 	HP	 	48.06627778N	008.50102778E	WGE	SCHWENNINGEN	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417695	ED2262	DFS DEUTSCHE FLUGSICHERUNG GMBH	ELSTERWERDA KRHS.	 	 	HP	 	51.45562333N	013.52216417E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417697	ED2263	DFS DEUTSCHE FLUGSICHERUNG GMBH	GIFHORN KLINIKUM	 	 	HP	 	52.49611111N	010.54944444E	WGE	GIFHORN	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417699	ED2264	DFS DEUTSCHE FLUGSICHERUNG GMBH	AUGSBURG KLINIKUM	 	 	HP	 	48.3845N	010.83776667E	WGE	AUGSBURG	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417701	ED2265	DFS DEUTSCHE FLUGSICHERUNG GMBH	WINSEN/LUHE KRHS.	 	 	HP	 	53.34860278N	010.19926111E	WGE	WINSEN	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417703	ED2266	DFS DEUTSCHE FLUGSICHERUNG GMBH	BAD HOMBURG V.D.H. HOCHTAUNUS-KLINIKEN	 	 	HP	 	50.21241667N	008.61916667E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417705	ED2267	DFS DEUTSCHE FLUGSICHERUNG GMBH	NEUNKIRCHEN STAEDT. KLINIKUM	 	 	HP	 	49.34138889N	007.18305556E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417707	ED2268	DFS DEUTSCHE FLUGSICHERUNG GMBH	GIESSEN-JOHANNITER	 	 	HP	 	50.5724N	008.65263056E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417709	ED2269	DFS DEUTSCHE FLUGSICHERUNG GMBH	STUTTGART BAD CANNSTATT ROBERT-BOSCH KRHS.	 	 	HP	 	48.81387222N	009.18546667E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417711	ED2270	DFS DEUTSCHE FLUGSICHERUNG GMBH	STADE ELBE KLINIKUM	 	 	HP	 	53.59480556N	009.44436111E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417713	ED2271	DFS DEUTSCHE FLUGSICHERUNG GMBH	PAPENBURG MARIENKRHS.	 	 	HP	 	53.07416667N	007.39305556E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417715	ED2272	DFS DEUTSCHE FLUGSICHERUNG GMBH	HAMBURG-HARBURG	 	 	HP	 	53.45976N	009.950793E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417719	ED2274	DFS DEUTSCHE FLUGSICHERUNG GMBH	RODING FIRMA MUEHLBAUER	 	 	HP	 	49.21840278N	012.50280278E	WGE	RODING	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417721	ED2275	DFS DEUTSCHE FLUGSICHERUNG GMBH	RODING DACHLANDEPLATZ	 	 	HP	 	49.21529722N	012.50518056E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417723	ED2276	DFS DEUTSCHE FLUGSICHERUNG GMBH	LEUBSDORF	 	 	HP	 	50.54444444N	007.31444444E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417725	ED2277	DFS DEUTSCHE FLUGSICHERUNG GMBH	LUDWIGSHAFEN KLINIKUM	 	 	HP	 	49.49111111N	008.42472222E	WGE	 	 	20/02/2025	DFS DEUTSCHE FLUGSICHERUNG GMBH	please obtain current usage data from dedicated report
400002193417727	ED2278	DFS DEUTSCHE FLUGSICHERUNG GMBH	SPEYER DIAKONISSEN-STIFTUNGS-KRHS.	 	 	HP	 	49.31044444N	008.43558333E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417729	ED2279	DFS DEUTSCHE FLUGSICHERUNG GMBH	FREIBURG UNIKLINIKUM FR 2	 	 	HP	 	48.00678889N	007.84022778E	WGE	FREIBURG	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417731	ED2280	DFS DEUTSCHE FLUGSICHERUNG GMBH	HANNOVER KLINIKUM SILOAH	 	 	HP	 	52.35925278N	009.72523056E	WGE	HANNOVER	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417733	ED2281	DFS DEUTSCHE FLUGSICHERUNG GMBH	ANGERMUENDE	 	 	HP	 	52.99970556N	014.00164444E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417735	ED2282	DFS DEUTSCHE FLUGSICHERUNG GMBH	BORKUM INSELKRHS.	 	 	HP	 	53.58488525N	006.67013142E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417737	ED2283	DFS DEUTSCHE FLUGSICHERUNG GMBH	WILHELMSHAVEN KLINIKUM	 	 	HP	 	53.54444444N	008.08055556E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417739	ED2284	DFS DEUTSCHE FLUGSICHERUNG GMBH	FRANKFURT (MAIN) BG UNFALLKLINIK, CHRISTOPH 2	 	 	HP	 	50.14546667N	008.7102E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417741	ED2285	DFS DEUTSCHE FLUGSICHERUNG GMBH	DINKELSBUEHL	 	 	HP	 	49.06594444N	010.40158056E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400002193417743	ED2286	DFS DEUTSCHE FLUGSICHERUNG GMBH	ESCHWEILER ST.-ANTONIUS-HOSPITAL	 	 	HP	 	50.81848056N	006.26446667E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417747	ED2288	DFS DEUTSCHE FLUGSICHERUNG GMBH	VIECHTACH KKRHS.	 	 	HP	 	49.08558056N	012.87412222E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417749	ED2289	DFS DEUTSCHE FLUGSICHERUNG GMBH	THUINE ELISABETH KRHS.	 	 	HP	 	52.49730556N	007.48911111E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417751	ED2290	DFS DEUTSCHE FLUGSICHERUNG GMBH	KOBLENZ BUNDESWEHRZENTRALKRHS.	 	 	HP	 	50.36777778N	007.54527778E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417753	ED2291	DFS DEUTSCHE FLUGSICHERUNG GMBH	KASSEL KLINIKUM	 	 	HP	 	51.32854896N	009.50940072E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417755	ED2292	DFS DEUTSCHE FLUGSICHERUNG GMBH	SONNEBERG REGIOMED KLINIK	 	 	HP	 	50.35401944N	011.16225556E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417757	ED2293	DFS DEUTSCHE FLUGSICHERUNG GMBH	HILDESHEIM HELIOS KLINIKUM	 	 	HP	 	52.15056389N	009.97843889E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417759	ED2294	DFS DEUTSCHE FLUGSICHERUNG GMBH	SCHLESWIG HELIOS KLINIKUM	 	 	HP	 	54.52197778N	009.56959722E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417761	ED2295	DFS DEUTSCHE FLUGSICHERUNG GMBH	NUERNBERG-NORD	 	 	HP	 	49.46316944N	011.06253611E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400002193417763	ED2296	DFS DEUTSCHE FLUGSICHERUNG GMBH	NEUSTADT AM RUEBENBERGE KRH-KLINIKUM	 	 	HP	 	52.49438889N	009.46369444E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417765	ED2297	DFS DEUTSCHE FLUGSICHERUNG GMBH	WITTMUND KRHS.	 	 	HP	 	53.57138889N	007.78908333E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417767	ED2298	DFS DEUTSCHE FLUGSICHERUNG GMBH	CELLE	 	 	HP	 	52.62877778N	010.08496944E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400002193417771	ED2300	DFS DEUTSCHE FLUGSICHERUNG GMBH	PASSAU KLINIKUM	 	 	HP	 	48.56361111N	013.44472222E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417773	ED2301	DFS DEUTSCHE FLUGSICHERUNG GMBH	BAD SALZUNGEN KLINIKUM	 	 	HP	 	50.80419444N	010.21673056E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002193417775	ED2302	DFS DEUTSCHE FLUGSICHERUNG GMBH	LEER KLINIKUM	 	 	HP	 	53.236302N	007.457517E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002592277724	ED2303	DFS DEUTSCHE FLUGSICHERUNG GMBH	OLDENBURG EV. KRHS.	 	 	HP	 	53.14283333N	008.20438889E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002592277726	ED2304	DFS DEUTSCHE FLUGSICHERUNG GMBH	WEISSENFELS ASKLEPIOS KLINIK	 	 	HP	 	51.19365833N	011.95541111E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400002592277728	ED2305	DFS DEUTSCHE FLUGSICHERUNG GMBH	IMMENSTADT KLINIKUM	 	 	HP	 	47.56156944N	010.22811111E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002481691495	ED2306	DFS DEUTSCHE FLUGSICHERUNG GMBH	NORDENHAM WESERMARSCH-KLINIK	 	 	HP	 	53.45504N	008.44111389E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002481691497	ED2307	DFS DEUTSCHE FLUGSICHERUNG GMBH	SAALFELD KLINIKUM	 	 	HP	 	50.64393889N	011.34211111E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002481691501	ED2309	DFS DEUTSCHE FLUGSICHERUNG GMBH	BAD BERKA ZENTRALKLINIK DACHLANDEPLATZ	 	 	HP	 	50.88992222N	011.26622222E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002521808501	ED2310	DFS DEUTSCHE FLUGSICHERUNG GMBH	HOMBURG/SAAR UNIVERSITAETSKLINIK	 	 	HP	 	49.30666667N	007.345E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002560375522	ED2311	DFS DEUTSCHE FLUGSICHERUNG GMBH	WORMS KLINIKUM	 	 	HP	 	49.64861111N	008.32111111E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400002560375524	ED2312	DFS DEUTSCHE FLUGSICHERUNG GMBH	KONSTANZ KLINIKUM	 	 	HP	 	47.67198889N	009.188675E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002574209612	ED2313	DFS DEUTSCHE FLUGSICHERUNG GMBH	MAGDEBURG UNIVERSITAETSKLINIKUM DACHLANDEPLATZ	 	 	HP	 	52.10213333N	011.61980556E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400002603558543	ED2314	DFS DEUTSCHE FLUGSICHERUNG GMBH	NORTHEIM ALBERT-SCHWEITZER-KLINIK	 	 	HP	 	51.730649N	009.978946E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400002634166507	ED2316	DFS DEUTSCHE FLUGSICHERUNG GMBH	SCHAUMBURG AGAPLESION EVANG. KLINIKUM	 	 	HP	 	52.26555556N	009.10361111E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400002732342372	ED2317	DFS DEUTSCHE FLUGSICHERUNG GMBH	GUENZBURG BEZIRKSKRHS.	 	 	HP	 	48.45628889N	010.29117778E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400002732342374	ED2330	DFS DEUTSCHE FLUGSICHERUNG GMBH	MEININGEN HELIOS KLINIKUM	 	 	HP	 	50.55708333N	010.39894167E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400002756391206	ED2331	DFS DEUTSCHE FLUGSICHERUNG GMBH	DORTMUND KLINIKZENTRUM NORD	 	 	HP	 	51.53333333N	007.45472222E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400002765183550	ED2332	DFS DEUTSCHE FLUGSICHERUNG GMBH	DEGGENDORF DONAUISAR KLINIKUM	 	 	HP	 	48.83926111N	012.97086944E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400002849123756	ED2334	DFS DEUTSCHE FLUGSICHERUNG GMBH	SCHWALMSTADT KRHS. HEPHATA DIAKONIE	 	 	HP	 	50.90972222N	009.16638889E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400002849123758	ED2335	DFS DEUTSCHE FLUGSICHERUNG GMBH	DAMME KRHS. ST.ELISABETH	 	 	HP	 	52.52096886N	008.19358514E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002880234406	ED2336	DFS DEUTSCHE FLUGSICHERUNG GMBH	GRAFSCHAFT HARIBO	 	 	HP	 	50.57691667N	007.08946667E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400002880234408	ED2337	DFS DEUTSCHE FLUGSICHERUNG GMBH	COSWIG (ANHALT) MEDICLIN HERZZENTRUM	 	 	HP	 	51.87830556N	012.47622222E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002959158526	ED2338	DFS DEUTSCHE FLUGSICHERUNG GMBH	KEMPTEN-DURACH	 	 	HP	 	47.69137222N	010.34014167E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400002997912352	ED2339	DFS DEUTSCHE FLUGSICHERUNG GMBH	BAD NEUSTADT/SAALE KLINIKUM	 	 	HP	 	50.32267778N	010.235075E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400003152872577	ED2341	DFS DEUTSCHE FLUGSICHERUNG GMBH	DARMSTADT KLINIKUM	 	 	HP	 	49.87457625N	008.645345E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400003152872579	ED2342	DFS DEUTSCHE FLUGSICHERUNG GMBH	HAMBURG BUNDESWEHRKRHS:	 	 	HP	 	53.59688056N	010.07780833E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400003214802581	ED2343	DFS DEUTSCHE FLUGSICHERUNG GMBH	MEMMINGEN KLINIKUM	 	 	HP	 	47.98264722N	010.16876944E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400003245991774	ED2344	DFS DEUTSCHE FLUGSICHERUNG GMBH	HARSTE	 	 	HP	 	51.60266111N	009.858875E	WGE	 	 	03/10/2024	GROUPEAD EUROPE S.L.	 
400003309305890	ED2345	DFS DEUTSCHE FLUGSICHERUNG GMBH	WEIMAR SOPHIEN- UND HUFELAND-KLINIKUM	 	 	HP	 	50.960775N	011.322025E	WGE	WEIMAR	 	03/10/2024	GROUPEAD EUROPE S.L.	 
